Timestamp,q9
12/12/2022 10:32:07,8.0
12/12/2022 10:42:05,20.0
12/12/2022 11:04:31,4.0
12/12/2022 11:05:56,1.0
12/12/2022 12:55:10,5.0
12/12/2022 13:23:06,44.0
12/12/2022 14:40:00,10.0
12/12/2022 14:41:26,5.0
12/12/2022 15:30:58,40.0
12/12/2022 21:30:13,17.0
14/12/2022 10:57:02,4.0
16/12/2022 10:23:50,13.0
03/01/2023 09:23:38,12.0
06/01/2023 12:59:16,4.0
06/01/2023 13:01:37,4.0
06/01/2023 13:09:05,5.0
06/01/2023 14:43:18,18.0
06/01/2023 16:43:32,2.0
09/01/2023 08:35:40,18.0
09/01/2023 14:17:17,29.0
09/01/2023 20:42:27,14.0
10/01/2023 09:27:32,6.0
10/01/2023 09:27:57,40.0
10/01/2023 10:10:15,10.0
10/01/2023 11:17:33,13.0
10/01/2023 11:48:09,1.0
11/01/2023 16:41:16,5.0
12/01/2023 13:00:07,2.0
13/01/2023 10:07:36,5.0
13/01/2023 10:40:36,10.0
13/01/2023 13:35:29,3.0
13/01/2023 18:58:20,4.0
18/01/2023 11:55:23,1.0
18/01/2023 14:48:02,106.0
19/01/2023 16:02:14,7.0
