Timestamp,q19,q19_binned
12/12/2022 10:32:07,15,[0-20%]
12/12/2022 10:42:05,5,[0-20%]
12/12/2022 11:04:31,100,(80-100%]
12/12/2022 11:05:56,20,[0-20%]
12/12/2022 12:55:10,0,[0-20%]
12/12/2022 13:23:06,15,[0-20%]
12/12/2022 14:40:00,10,[0-20%]
12/12/2022 14:41:26,80,(60-80%]
12/12/2022 15:30:58,15,[0-20%]
14/12/2022 10:57:02,10,[0-20%]
16/12/2022 10:23:50,10,[0-20%]
03/01/2023 09:23:38,20,[0-20%]
06/01/2023 12:59:16,90,(80-100%]
06/01/2023 13:01:37,100,(80-100%]
06/01/2023 13:09:05,10,[0-20%]
06/01/2023 14:43:18,50,(40-60%]
06/01/2023 16:43:32,80,(60-80%]
09/01/2023 08:35:40,15,[0-20%]
09/01/2023 14:17:17,5,[0-20%]
09/01/2023 20:42:27,60,(40-60%]
10/01/2023 09:27:32,10,[0-20%]
10/01/2023 09:27:57,10,[0-20%]
10/01/2023 10:10:15,10,[0-20%]
10/01/2023 11:17:33,12,[0-20%]
10/01/2023 11:48:09,40,(20-40%]
11/01/2023 16:41:16,20,[0-20%]
12/01/2023 13:00:07,0,[0-20%]
13/01/2023 10:07:36,100,(80-100%]
13/01/2023 10:40:36,10,[0-20%]
13/01/2023 13:35:29,40,(20-40%]
13/01/2023 18:58:20,10,[0-20%]
18/01/2023 11:55:23,100,(80-100%]
18/01/2023 14:48:02,50,(40-60%]
19/01/2023 16:02:14,10,[0-20%]
