What is the name of your group?,How many staff have left your group in the last two years?
University of Reading,0.0
"Castep Development, York",0.0
MVLS University of Glasgow,0.0
QUB,0.0
University of Warwick,0.0
"Digital Humanities Group, Lancaster",0.0
University of York,0.0
"Soft Matter and Biophysics, Strathclyde",0.0
Kings College London,0.0
"SWC/GCNU Neuroinformatics Unit, UCL",0.0
Lancaster University,0.0
QMUL,1.0
University of Liverpool,1.0
University of Birmingham,1.0
University of Southampton,2.0
King's Digital Lab,2.0
University of Bristol,2.0
Imperial College London,2.0
University of Bath,2.0
University of Leeds,2.0
"Research IT, Bristol",2.0
Roslin Franklin Institute,3.0
University of Cambridge,3.0
University of Oxford,3.0
Newcastle University,3.0
University of Manchester,4.0
University of Sheffield,4.0
University of Exeter,4.0
UKAEA,4.0
Swansea Academy of Advanced Computing,5.0
UCL,6.0
University of Nottingham,10.0
"EPCC, Edinburgh",10.0
Alan Turing Institute,10.0
